date,statistic,value,station_count,station_ids,source_files,source_rows,row_count
2023-05-07,min,46.1,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,3; 370,2
2023-05-08,max,52.8,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,4; 371,2
2023-05-08,mean,48.523,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,4; 371,2
2023-05-08,min,45.6,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,4; 371,2
2023-05-09,max,55.1,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,5; 372,2
2023-05-09,mean,52.562,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,5; 372,2
2023-05-09,min,49.7,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,5; 372,2
2023-05-10,max,55.5,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,6; 373,2
2023-05-10,mean,53.971,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,6; 373,2
2023-05-10,min,51.6,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,6; 373,2
2023-05-11,max,57.9,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,7; 374,2
2023-05-11,mean,52.25,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,7; 374,2
2023-05-11,min,50.1,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,7; 374,2
2023-05-13,max,59.8,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,8; 375,2
2023-05-13,mean,52.027,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,8; 375,2
2023-05-13,min,46.4,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,8; 375,2
2023-05-14,max,53.7,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,9; 376,2
2023-05-14,mean,50.692,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,9; 376,2
2023-05-14,min,46.8,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,9; 376,2
2023-05-15,max,59.4,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,10; 377,2
2023-05-15,mean,54.163,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,10; 377,2
2023-05-15,min,52.6,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,10; 377,2
